adresse,lot,reference,avis_decontamination,bureau_publicite,commentaires
"1, rue des Panneaux, Val-d'Or (Québec)",,55326326,Décontamination terminée,,"Réf. gouv: 55326326 | État: Terminée en 2001 | Contaminants: Produits pétroliers*,, Xylènes (o,m,p) (pot) | Qualité sols: Plage B-C"
"1000, boul. Barrette, Val-d'Or (Québec)",,90531229,Décontamination terminée,,Réf. gouv: 90531229 | État: Terminée en 2001 | Contaminants: Hydrocarbures pétroliers C10 à C50 | Qualité sols: Plage B-C
"1075, 3e Avenue Ouest, Val-d'Or (Québec)",,X2050458,Décontamination en cours,,"Réf. gouv: X2050458 | État: Initiée | Contaminants: Benzène (pot),, Éthylbenzène (pot),, Hydrocarbures pétroliers C10 à C50,, Toluène (pot),, Xylène..."
"1111, rue de l'Escale, Val-d'Or (Québec)",,X0800591,Décontamination terminée,,"Réf. gouv: X0800591 | État: Terminée en 1996 | Contaminants: Benzène (pot),, Éthylbenzène (pot),, Hydrocarbures légers*,, Hydrocarbures pétroliers C10 à C50,... | Qualité sols: Plage B-C"
"1141, rue Des Manufacturiers, Val-d'Or (Québec)",,X2003279,Décontamination terminée,,Réf. gouv: X2003279 | État: Terminée en 1995 | Contaminants: Hydrocarbures pétroliers C10 à C50 | Qualité sols: Plage B-C
"1163, rue des Manufacturiers, Val-d'Or (Québec)",,X0800957,Décontamination terminée,,Réf. gouv: X0800957 | État: Terminée en 1995 | Contaminants: Hydrocarbures pétroliers C10 à C50 | Qualité sols: Plage B-C
"1185, rue des Foreurs, Val-d'Or (Québec)",,X2059220,Décontamination terminée,,Réf. gouv: X2059220 | État: Terminée en 2004 | Contaminants: Hydrocarbures pétroliers C10 à C50 | Qualité sols: <= B
"1275, 6e Rue, Val-d'Or (Québec)",,90411067,Décontamination terminée,,"Réf. gouv: 90411067 | État: Terminée en 2017 | Contaminants: Benzène (pot),, Éthylbenzène (pot),, Hydrocarbures pétroliers C10 à C50,, Toluène (pot),, Xylène... | Qualité sols: Plage B-C"
"1322, rue Turcotte, Val-d'Or (Québec)",,X2159243,Décontamination en cours,,"Réf. gouv: X2159243 | État: Initiée | Contaminants: Benzène (pot),, Éthylbenzène (pot),, Hydrocarbures aromatiques polycycliques*,, Hydrocarbures pét..."
"1329, 6e Rue, Val-d'Or (Québec)",,X2003277,Décontamination en cours,,"Réf. gouv: X2003277 | État: Initiée | Contaminants: Hydrocarbures aromatiques monocycliques * (pot),, Hydrocarbures pétroliers C10 à C50"
