adresse,lot,reference,avis_decontamination,bureau_publicite,commentaires
"1185, des Foreurs",2299001,7610-08-01-17124-06,,12223243.0,
"1075, 3e Avenue",2297678,7610-08-01-12049-06,,,
"912, 3e Avenue",2297604,,,12343867.0,
"725, 3e Avenue",2297570,7610-08-01-12059-08,,,
"1025, de l'Écho",2298974,0931-10-4555,,,
"3360, Sullivan","52B-10, rang 10, canton Dubuisson, 53B-40, rang 10, canton Dubuisson, 53B-41, rang 10, canton Dubuisson",7610-08-01-12055-13,,13534202.0,Approbation du plan de réhabilitation
"493, route 111","18-6 et 18-6-P, rang 6, canton Vassan",9844-20-5683,,,
"1365, 6e Rue",2299058,0830-83-8530,,,
"1401, 6e Rue",2299047,7610-08-01-12069-06,,13964014.0,
"1660, 3e Avenue",2550578,7610-05-01-12070-00,,14042551.0,
"1345, 6e Rue",2299059,7610-08-01-12065-06,,13915811.0,Approbation du plan de réhabilitation
"1365, 6e Rue",2299058,7610-08-01-12065-06,,13915811.0,Approbation du plan de réhabilitation
"5999, 3e Avenue Est","Bloc 55, canton Louvicourt",7610-08-01-70141-13,,13455702.0,
460-462 Route 117,"61-6,   rang 6 canton Louvicourt, 61-16, rang 6 canton Louvicourt, 61-17, rang 6 canton Louvicourt, 61-18, rang 6 canton Louvicourt",7610-08-01-12080-13,,15661565.0,Réception avis de décontamination | le 11/09/2009
"1697, 3e Avenue",2550786,,,,Reçu le 25 mai 2012
"3360, chemin Sullivan","52B-10, 53B-40, 53B-41",7610-08-01-12055-13,,19693510.0,Reçu avis de contamination le 5 février 2013
"1955, 3e Avenue",2551586,7610-08-01-17306-13,,21084335.0,Reçu avis de contamination le 2 septembre 2015
"3146, 7e Rue",2298481,301423289,,24922521.0,Reçu avis de contamination le 15 octobre 2019 - Demande par Frédéric le 03 déc 2015
"653, Campagnards",4952839,,,,Demande par Frédéric le 03 déc 2015
"1003, 3e Avenue",2297663,,,,Demande par Éric le 20 janvier 2016
"1275, 6e Rue",2299045,7610-08-01-12008-21,,,Reçu avis de contamination le 28 mars 2018
"1061, Manufacturiers",2501434,,,,Reçu avis le 25 juillet 2018
"1797, 3e Avenue",5646520,7610-08-01-12164-00,,25682510.0,Reçu avis le 2 octobre 2020
"1365, 6e Rue",2299058,7610-08-01-12065-13,,26307303.0,Reçu avis le 17 mai 2021
"3146, 7e Rue",2298481,,660543-0000-4EER-0005_0,,Reçu suivi environnemental de réhabilitation le 9 décembre 2020
"932, 3e Avenue",2 297 596 - 2 297 597 - 2 297 604,7610-08-01-17235-13,,27439837.0,Reçu avis le 13 mars 2023
"1, rue des Panneaux",2 297 850 et 2 297 852,7610-08-01-50101-00,,27973561.0,Reçu avis le 8 mai 2023
